Record_ID,Date,Day_of_Week,Is_Weekend,Season,Line,Line_Color,Station_Name,Interchange_Station,Zone,Distance_from_Connaught_Place_km,Opening_Year,Number_of_Platforms,Entry_Count,Exit_Count,Total_Footfall,Peak_Hour_Footfall_Pct,Avg_Fare_INR,Majority_Ticket_Type,Parking_Available,Feeder_Bus_Available,Escalator_Count,Elevator_Count,Weather_Condition,Temperature_C,Is_Festival_Day,Delay_Minutes,Security_Incidents
13,2024-01-01,Monday,0,Winter,Blue,#00509E,Kirti Nagar,Yes,West Delhi,10.7,2005,3,16526,16036,32562,40.6,39.8,Smart Card (DMRC Card),Yes,No,4,1,Cold & Cloudy,9.2,0,0.7,0
14,2024-01-01,Monday,0,Winter,Blue,#00509E,Mandi House,Yes,Central Delhi,2.3,2005,4,19966,19540,39506,31.7,21.7,Smart Card (DMRC Card),No,No,6,2,Cold & Cloudy,9.2,0,0.1,0
15,2024-01-01,Monday,0,Winter,Blue,#00509E,Mayur Vihar-I,Yes,East Delhi,10.6,2009,3,15990,16094,32084,32.2,38.3,Paper QR Token,No,No,2,1,Cold & Cloudy,9.2,0,0.0,0
16,2024-01-01,Monday,0,Winter,Blue,#00509E,Noida Sector 18,No,Noida,19.8,2009,2,4189,4326,8515,36.4,49.5,Smart Card (DMRC Card),Yes,Yes,2,1,Cold & Cloudy,9.2,0,0.9,0
17,2024-01-01,Monday,0,Winter,Blue,#00509E,Rajendra Place,No,Central Delhi,7.4,2005,2,7033,6805,13838,36.7,32.7,QR Ticket (Token-less),Yes,Yes,2,1,Cold & Cloudy,9.2,0,1.6,0
18,2024-01-01,Monday,0,Winter,Blue,#00509E,Rajiv Chowk,Yes,Central Delhi,0.5,2005,4,16540,16421,32961,28.5,16.2,Smart Card (DMRC Card),No,Yes,4,2,Cold & Cloudy,9.2,0,0.7,0
19,2024-01-01,Monday,0,Winter,Blue,#00509E,Rajouri Garden,Yes,West Delhi,12.9,2005,4,17710,17103,34813,39.8,38.1,QR Ticket (Token-less),Yes,Yes,2,1,Cold & Cloudy,9.2,0,1.4,1
20,2024-01-01,Monday,0,Winter,Blue,#00509E,Vaishali,No,Ghaziabad,15.9,2009,2,5352,5316,10668,44.0,46.0,NCMC Card (One Delhi),Yes,No,3,1,Cold & Cloudy,9.2,0,1.5,0
21,2024-01-01,Monday,0,Winter,Blue,#00509E,Yamuna Bank,Yes,East Delhi,6.3,2005,3,17892,18585,36477,44.4,31.7,Smart Card (DMRC Card),Yes,Yes,4,1,Cold & Cloudy,9.2,0,0.8,0
22,2024-01-01,Monday,0,Winter,Green,#00A651,Ashok Park Main,No,West Delhi,9.8,2010,2,6254,6038,12292,34.6,40.7,Smart Card (DMRC Card),No,Yes,4,2,Cold & Cloudy,9.2,0,0.3,0
23,2024-01-01,Monday,0,Winter,Green,#00A651,Bahadurgarh City,No,Haryana,29.1,2018,2,4605,4444,9049,44.2,60.0,QR Ticket (Token-less),Yes,Yes,4,2,Cold & Cloudy,9.2,0,0.9,0
24,2024-01-01,Monday,0,Winter,Green,#00A651,Mundka,No,West Delhi,22.4,2010,2,4399,4541,8940,43.3,60.0,QR Ticket (Token-less),Yes,No,4,0,Cold & Cloudy,9.2,0,0.6,0
25,2024-01-01,Monday,0,Winter,Green,#00A651,Nangloi,No,West Delhi,17.6,2010,2,4575,4475,9050,33.8,56.6,QR Ticket (Token-less),Yes,Yes,2,2,Cold & Cloudy,,0,0.8,0
26,2024-01-01,Monday,0,Winter,Green,#00A651,Peeragarhi,No,West Delhi,14.2,2010,2,5815,5757,11572,42.9,48.0,QR Ticket (Token-less),Yes,No,2,2,Cold & Cloudy,9.2,0,0.5,0
27,2024-01-01,Monday,0,Winter,Green,#00A651,Punjabi Bagh,No,West Delhi,11.5,2010,2,5148,5224,10372,42.4,38.9,Smart Card (DMRC Card),No,Yes,2,2,Cold & Cloudy,9.2,0,0.5,0
28,2024-01-01,Monday,0,Winter,Grey,#808080,Dwarka,No,West Delhi,22.8,2019,2,5000,5158,10158,44.7,55.4,Paper QR Token,Yes,Yes,3,2,Cold & Cloudy,9.2,0,3.8,0
29,2024-01-01,Monday,0,Winter,Grey,#808080,Najafgarh,No,South West Delhi,27.4,2019,2,5056,5020,10076,34.8,60.0,Paper QR Token,No,Yes,3,2,Cold & Cloudy,9.2,0,2.4,0
30,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Botanical Garden,Yes,Noida,17.2,2018,3,16661,16617,33278,43.2,46.6,QR Ticket (Token-less),No,No,8,2,Cold & Cloudy,9.2,0,0.6,0
31,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Greater Kailash,No,South Delhi,8.9,2018,2,7187,7001,14188,44.4,33.5,Paper QR Token,Yes,Yes,2,0,Cold & Cloudy,9.2,0,4.2,0
32,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Hauz Khas,Yes,South Delhi,9.6,2017,4,15967,15737,31704,40.9,35.5,Smart Card (DMRC Card),No,Yes,2,1,Cold & Cloudy,9.2,0,0.8,0
33,2024-01-01,Monday,0,Winter,Magenta,#C6007E,IIT Delhi,No,South Delhi,8.6,2017,2,5730,5892,11622,36.2,30.9,QR Ticket (Token-less),No,Yes,4,0,Cold & Cloudy,9.2,0,0.6,0
34,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Janakpuri West,Yes,West Delhi,16.4,2018,4,16092,16634,32726,37.1,51.1,Smart Card (DMRC Card),No,Yes,6,1,Cold & Cloudy,9.2,0,0.8,0
35,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Jasola Vihar Shaheen Bagh,No,South Delhi,13.6,2018,2,5161,5244,10405,40.7,40.1,QR Ticket (Token-less),Yes,No,2,1,Cold & Cloudy,9.2,0,3.4,0
36,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Kalindi Kunj,No,South Delhi,14.9,2018,2,4541,4396,8937,38.6,47.7,Smart Card (DMRC Card),Yes,No,3,0,Cold & Cloudy,9.2,0,1.5,0
37,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Kalkaji Mandir,Yes,South Delhi,10.6,2018,3,17425,16956,34381,30.4,36.4,QR Ticket (Token-less),No,No,8,2,Cold & Cloudy,9.2,0,0.3,0
38,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Munirka,No,South Delhi,10.3,2017,2,5955,6114,12069,39.4,39.1,QR Ticket (Token-less),Yes,No,3,0,Cold & Cloudy,9.2,0,1.3,0
39,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Palam,No,South West Delhi,19.2,2018,2,5162,5134,10296,34.1,56.9,Smart Card (DMRC Card),Yes,Yes,3,1,Cold & Cloudy,9.2,0,0.4,0
40,2024-01-01,Monday,0,Winter,Magenta,#C6007E,R K Puram,No,South Delhi,9.4,2017,2,6121,6158,12279,36.6,31.1,QR Ticket (Token-less),Yes,Yes,3,1,Cold & Cloudy,9.2,0,1.4,0
41,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Sukhdev Vihar,No,South Delhi,11.8,2018,2,6971,6881,13852,36.9,41.7,QR Ticket (Token-less),Yes,Yes,3,1,Cold & Cloudy,9.2,0,0.7,0
42,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Terminal 1 IGI Airport,No,South West Delhi,15.7,2018,2,4377,4467,8844,30.7,42.6,NCMC Card (One Delhi),No,No,3,2,Cold & Cloudy,9.2,0,0.3,0
43,2024-01-01,Monday,0,Winter,Magenta,#C6007E,Vasant Vihar,No,South West Delhi,11.9,2017,2,4341,4177,8518,29.9,42.9,Smart Card (DMRC Card),Yes,Yes,4,2,Cold & Cloudy,9.2,0,3.0,0
44,2024-01-01,Monday,0,Winter,Pink,#EC008C,Anand Vihar,No,East Delhi,12.3,2018,2,5760,5625,11385,38.7,41.4,QR Ticket (Token-less),No,Yes,2,0,Cold & Cloudy,9.2,0,3.8,0
45,2024-01-01,Monday,0,Winter,Pink,#EC008C,Delhi Cantt,No,South West Delhi,15.5,2018,2,6165,6310,12475,30.3,42.1,Paper QR Token,Yes,No,3,0,Cold & Cloudy,9.2,0,1.3,0
46,2024-01-01,Monday,0,Winter,Pink,#EC008C,Hazrat Nizamuddin,No,South Delhi,6.5,2018,2,6461,6475,12936,39.3,26.5,Paper QR Token,Yes,Yes,2,2,Cold & Cloudy,9.2,0,0.1,0
47,2024-01-01,Monday,0,Winter,Pink,#EC008C,Karkarduma,Yes,East Delhi,11.1,2018,4,17473,17051,34524,40.7,34.2,Paper QR Token,No,Yes,2,1,Cold & Cloudy,9.2,0,0.7,0
48,2024-01-01,Monday,0,Winter,Pink,#EC008C,Lajpat Nagar,Yes,South Delhi,7.8,2018,3,18288,18921,37209,30.2,28.2,Smart Card (DMRC Card),Yes,No,8,2,Cold & Cloudy,9.2,0,0.2,0
49,2024-01-01,Monday,0,Winter,Pink,#EC008C,Majlis Park,No,North Delhi,15.1,2018,2,4572,4738,9310,42.7,52.3,Smart Card (DMRC Card),No,No,4,0,Cold & Cloudy,9.2,0,8.5,0
50,2024-01-01,Monday,0,Winter,Pink,#EC008C,Maujpur-Babarpur,No,East Delhi,11.7,2018,2,4748,4900,9648,35.6,37.2,QR Ticket (Token-less),Yes,No,3,0,Cold & Cloudy,9.2,0,0.5,0
51,2024-01-01,Monday,0,Winter,Pink,#EC008C,Mayur Vihar-I,Yes,East Delhi,10.6,2018,4,16653,17090,33743,29.5,34.9,Smart Card (DMRC Card),No,No,6,2,Cold & Cloudy,9.2,0,0.3,0
52,2024-01-01,Monday,0,Winter,Pink,#EC008C,Netaji Subhash Place,Yes,North Delhi,12.1,2018,3,18245,18454,36699,29.9,40.9,Smart Card (DMRC Card),No,No,6,1,Cold & Cloudy,,0,2.2,0
53,2024-01-01,Monday,0,Winter,Pink,#EC008C,Rajouri Garden,Yes,West Delhi,12.9,2018,4,21298,21211,42509,37.5,42.4,Paper QR Token,No,No,4,1,Cold & Cloudy,9.2,0,0.2,0
54,2024-01-01,Monday,0,Winter,Pink,#EC008C,Sarojini Nagar,No,South Delhi,8.4,2018,2,6713,6500,13213,33.9,34.8,Smart Card (DMRC Card),No,No,3,2,Cold & Cloudy,9.2,0,0.8,0
55,2024-01-01,Monday,0,Winter,Pink,#EC008C,Shalimar Bagh,No,North Delhi,13.6,2018,2,5668,5471,11139,42.4,40.9,Paper QR Token,Yes,No,2,0,Cold & Cloudy,9.2,0,0.2,1
56,2024-01-01,Monday,0,Winter,Pink,#EC008C,Shiv Vihar,No,East Delhi,16.4,2019,2,4291,4351,8642,30.0,50.9,Smart Card (DMRC Card),No,Yes,4,2,Cold & Cloudy,9.2,0,1.7,0
57,2024-01-01,Monday,0,Winter,Pink,#EC008C,South Extension,No,South Delhi,7.9,2018,2,6675,6806,13481,35.8,34.5,QR Ticket (Token-less),Yes,Yes,4,0,Cold & Cloudy,9.2,0,0.6,0
58,2024-01-01,Monday,0,Winter,Pink,#EC008C,Welcome,Yes,East Delhi,9.4,2018,4,17843,17494,35337,28.6,35.1,Smart Card (DMRC Card),No,Yes,2,2,Cold & Cloudy,9.2,0,3.4,0
59,2024-01-01,Monday,0,Winter,Red,#EE1B24,Dilshad Garden,No,East Delhi,16.9,2008,2,5095,5010,10105,40.9,52.3,Smart Card (DMRC Card),No,Yes,3,2,Cold & Cloudy,9.2,0,1.0,0
60,2024-01-01,Monday,0,Winter,Red,#EE1B24,Inderlok,Yes,North Delhi,8.7,2004,4,17146,16926,34072,33.3,34.0,Smart Card (DMRC Card),No,Yes,2,1,Cold & Cloudy,9.2,0,0.3,1
61,2024-01-01,Monday,0,Winter,Red,#EE1B24,Kashmere Gate,Yes,North Delhi,5.2,2004,4,21015,20318,41333,29.5,23.9,Smart Card (DMRC Card),No,No,2,2,Cold & Cloudy,9.2,0,0.6,0
62,2024-01-01,Monday,0,Winter,Red,#EE1B24,Kohat Enclave,No,North Delhi,11.0,2004,2,6147,6059,12206,35.5,35.9,Smart Card (DMRC Card),Yes,Yes,2,2,Cold & Cloudy,9.2,0,0.1,0
63,2024-01-01,Monday,0,Winter,Red,#EE1B24,Netaji Subhash Place,Yes,North Delhi,12.1,2008,4,16069,16051,32120,38.1,38.5,Smart Card (DMRC Card),No,No,4,2,Cold & Cloudy,9.2,0,0.3,0
64,2024-01-01,Monday,0,Winter,Red,#EE1B24,Pitampura,No,North Delhi,13.8,2008,2,4817,4776,9593,30.4,40.7,Smart Card (DMRC Card),Yes,Yes,2,0,Cold & Cloudy,9.2,0,0.9,0
65,2024-01-01,Monday,0,Winter,Red,#EE1B24,Rithala,No,North Delhi,18.5,2008,2,5543,5699,11242,30.7,54.3,Smart Card (DMRC Card),Yes,Yes,4,1,Cold & Cloudy,9.2,0,1.4,0
66,2024-01-01,Monday,0,Winter,Red,#EE1B24,Rohini West,No,North Delhi,16.2,2008,2,5425,5225,10650,42.2,42.4,Smart Card (DMRC Card),Yes,Yes,4,2,Cold & Cloudy,9.2,0,0.3,0
67,2024-01-01,Monday,0,Winter,Red,#EE1B24,Seelampur,No,East Delhi,10.4,2004,2,5808,5704,11512,41.1,33.6,Smart Card (DMRC Card),No,Yes,4,0,Cold & Cloudy,9.2,0,0.2,0
68,2024-01-01,Monday,0,Winter,Red,#EE1B24,Shahdara,No,East Delhi,12.6,2004,2,6201,6287,12488,29.1,38.3,Smart Card (DMRC Card),No,No,3,0,Cold & Cloudy,9.2,0,2.0,0
69,2024-01-01,Monday,0,Winter,Red,#EE1B24,Shastri Park,No,East Delhi,8.9,2004,2,6412,6247,12659,34.1,33.1,Paper QR Token,No,No,4,1,Cold & Cloudy,9.2,0,0.2,0
70,2024-01-01,Monday,0,Winter,Violet,#92278F,Badarpur Border,No,South Delhi,18.9,2015,2,4551,4439,8990,39.6,56.2,Smart Card (DMRC Card),Yes,Yes,3,1,Cold & Cloudy,9.2,0,2.6,0
71,2024-01-01,Monday,0,Winter,Violet,#92278F,Faridabad Old,No,Faridabad,24.7,2015,2,4483,4332,8815,42.7,52.7,Smart Card (DMRC Card),No,No,3,0,Cold & Cloudy,9.2,0,0.7,0
72,2024-01-01,Monday,0,Winter,Violet,#92278F,Govind Puri,No,South Delhi,12.1,2010,2,5862,5802,11664,39.8,40.7,QR Ticket (Token-less),Yes,Yes,2,2,Cold & Cloudy,9.2,0,1.3,0
73,2024-01-01,Monday,0,Winter,Violet,#92278F,ITO,No,Central Delhi,3.1,2014,2,7202,7446,14648,39.9,21.8,Smart Card (DMRC Card),,No,3,1,Cold & Cloudy,9.2,0,1.8,0
74,2024-01-01,Monday,0,Winter,Violet,#92278F,Jama Masjid,No,Central Delhi,4.2,2014,2,5264,5105,10369,34.0,22.3,QR Ticket (Token-less),Yes,Yes,3,0,Cold & Cloudy,9.2,0,2.2,0
75,2024-01-01,Monday,0,Winter,Violet,#92278F,Kalkaji Mandir,Yes,South Delhi,10.6,2010,3,20428,21242,41670,44.5,37.7,Smart Card (DMRC Card),No,Yes,6,1,Cold & Cloudy,9.2,0,1.1,1
76,2024-01-01,Monday,0,Winter,Violet,#92278F,Khan Market,No,Central Delhi,3.9,2010,2,7001,6756,13757,44.8,25.6,Smart Card (DMRC Card),No,Yes,4,2,Cold & Cloudy,9.2,0,0.1,0
77,2024-01-01,Monday,0,Winter,Violet,#92278F,Lajpat Nagar,Yes,South Delhi,7.8,2010,4,17840,17950,35790,43.4,29.9,Smart Card (DMRC Card),No,No,4,2,Cold & Cloudy,9.2,0,0.0,0
78,2024-01-01,Monday,0,Winter,Violet,#92278F,Lal Quila,No,Central Delhi,3.8,2014,2,6345,6260,12605,40.8,26.8,QR Ticket (Token-less),Yes,Yes,4,2,Cold & Cloudy,9.2,0,0.1,0
79,2024-01-01,Monday,0,Winter,Violet,#92278F,Nehru Place,No,South Delhi,9.9,2010,2,6122,6083,12205,44.4,33.7,QR Ticket (Token-less),No,No,2,1,Cold & Cloudy,9.2,0,3.0,0
80,2024-01-01,Monday,0,Winter,Violet,#92278F,Okhla,No,South Delhi,13.4,2015,2,5263,5358,10621,44.2,43.8,Smart Card (DMRC Card),Yes,No,4,1,Cold & Cloudy,9.2,0,1.5,0
81,2024-01-01,Monday,0,Winter,Violet,#92278F,Raja Nahar Singh,No,Faridabad,29.8,2015,2,5837,6003,11840,38.1,60.0,NCMC Card (One Delhi),Yes,No,2,0,Cold & Cloudy,9.2,0,2.8,0
82,2024-01-01,Monday,0,Winter,Violet,#92278F,Tughlakabad,No,South Delhi,16.8,2015,2,4030,4004,8034,29.3,56.7,Smart Card (DMRC Card),No,No,3,1,Cold & Cloudy,9.2,0,1.8,0
83,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,AIIMS,No,South Delhi,7.1,2005,2,6835,6602,13437,30.3,27.9,QR Ticket (Token-less),Yes,No,2,1,Cold & Cloudy,9.2,0,3.9,0
84,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Azadpur,Yes,North Delhi,11.2,2004,4,16824,16646,33470,42.8,37.3,Smart Card (DMRC Card),No,No,4,2,Cold & Cloudy,9.2,0,3.3,0
85,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Central Secretariat,Yes,Central Delhi,2.6,2005,4,19657,19449,39106,37.1,20.9,QR Ticket (Token-less),No,No,2,2,Cold & Cloudy,9.2,0,0.6,0
86,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Chandni Chowk,No,Central Delhi,4.1,2004,2,6439,6201,12640,44.4,23.8,QR Ticket (Token-less),Yes,Yes,4,1,Cold & Cloudy,9.2,0,,0
87,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Civil Lines,No,North Delhi,5.9,2004,2,6920,6967,13887,31.8,25.8,Smart Card (DMRC Card),Yes,No,4,2,Cold & Cloudy,9.2,0,4.3,0
88,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Hauz Khas,Yes,South Delhi,9.6,2005,3,18815,18733,37548,37.0,31.2,Smart Card (DMRC Card),No,Yes,2,2,Cold & Cloudy,9.2,0,3.4,0
89,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Huda City Centre,No,Gurugram,27.3,2010,2,5038,5011,10049,29.6,60.0,Paper QR Token,Yes,Yes,2,2,Cold & Cloudy,9.2,0,0.4,1
90,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,INA,Yes,South Delhi,5.8,2005,3,18981,19731,38712,36.7,27.5,Smart Card (DMRC Card),No,Yes,2,2,Cold & Cloudy,9.2,0,0.3,0
91,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Jahangirpuri,No,North Delhi,17.5,2004,2,5265,5160,10425,31.9,45.2,QR Ticket (Token-less),Yes,Yes,4,0,Cold & Cloudy,9.2,0,0.3,0
92,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Malviya Nagar,No,South Delhi,11.4,2005,2,6214,6295,12509,33.9,42.9,QR Ticket (Token-less),Yes,No,3,0,Cold & Cloudy,9.2,0,3.3,0
93,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,New Delhi,Yes,Central Delhi,2.0,2005,4,19519,19350,38869,36.5,18.6,Smart Card (DMRC Card),No,No,8,2,Cold & Cloudy,,0,3.6,0
94,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Qutab Minar,No,South Delhi,14.5,2010,2,6065,5992,12057,31.8,42.7,NCMC Card (One Delhi),Yes,No,3,0,Cold & Cloudy,9.2,0,,0
95,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Rajiv Chowk,Yes,Central Delhi,0.5,2004,4,18349,18732,37081,39.4,19.6,Smart Card (DMRC Card),No,Yes,2,1,Cold & Cloudy,9.2,0,2.0,0
96,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Saket,No,South Delhi,12.8,2010,2,5812,6045,11857,29.7,37.6,NCMC Card (One Delhi),Yes,Yes,2,2,Cold & Cloudy,9.2,0,0.3,0
97,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Samaypur Badli,No,North Delhi,21.3,2015,2,4543,4720,9263,29.8,56.6,Smart Card (DMRC Card),No,No,4,1,Cold & Cloudy,9.2,0,0.6,0
98,2024-01-01,Monday,0,Winter,Yellow,#FCC80A,Vishwavidyalaya,No,North Delhi,6.8,2004,2,6562,6771,13333,31.9,31.2,NCMC Card (One Delhi),Yes,Yes,2,1,Cold & Cloudy,9.2,0,3.0,0
99,2024-01-02,Tuesday,0,Winter,Airport Express,#F58220,Delhi Aerocity,No,South West Delhi,13.2,2011,2,4873,4931,9804,29.2,38.0,Smart Card (DMRC Card),No,No,4,2,Cold & Cloudy,8.7,0,2.4,0
100,2024-01-02,Tuesday,0,Winter,Airport Express,#F58220,Dhaula Kuan,No,South West Delhi,9.7,2011,2,5517,5433,10950,44.9,30.9,NCMC Card (One Delhi),Yes,Yes,2,0,Cold & Cloudy,8.7,0,1.9,0
101,2024-01-02,Tuesday,0,Winter,Airport Express,#F58220,IGI Airport,No,South West Delhi,16.5,2011,2,5001,4852,9853,39.1,46.2,Smart Card (DMRC Card),No,Yes,3,1,Cold & Cloudy,8.7,0,0.6,0
102,2024-01-02,Tuesday,0,Winter,Airport Express,#F58220,New Delhi,Yes,Central Delhi,2.0,2011,3,18912,19346,38258,29.6,19.0,QR Ticket (Token-less),Yes,Yes,2,1,Cold & Cloudy,8.7,0,1.4,0
103,2024-01-02,Tuesday,0,Winter,Airport Express,#F58220,Shivaji Stadium,No,Central Delhi,2.9,2011,2,7384,7387,14771,44.8,21.4,QR Ticket (Token-less),Yes,Yes,4,0,Cold & Cloudy,8.7,0,0.8,0
104,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Akshardham,No,East Delhi,8.2,2009,2,6177,6091,12268,37.6,33.7,NCMC Card (One Delhi),No,Yes,4,0,Cold & Cloudy,8.7,0,2.4,0
105,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Botanical Garden,Yes,Noida,17.2,2009,3,15601,15870,31471,38.5,53.3,QR Ticket (Token-less),Yes,Yes,4,1,Cold & Cloudy,8.7,0,0.5,0
106,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Dwarka Mor,No,West Delhi,20.1,2005,2,5598,5644,11242,36.2,60.0,Smart Card (DMRC Card),Yes,No,4,1,Cold & Cloudy,8.7,0,6.2,0
107,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Dwarka Sector 21,Yes,West Delhi,24.6,2010,3,17170,17542,34712,28.4,56.6,QR Ticket (Token-less),Yes,No,8,1,Cold & Cloudy,8.7,0,3.1,0
108,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Indraprastha,No,East Delhi,4.7,2005,2,7381,7630,15011,34.9,24.8,Paper QR Token,No,Yes,4,2,Cold & Cloudy,8.7,0,1.9,0
109,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Janakpuri West,Yes,West Delhi,16.4,2005,4,16021,16123,32144,40.5,42.1,Smart Card (DMRC Card),Yes,Yes,6,2,Cold & Cloudy,8.7,0,0.7,0
110,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Karol Bagh,No,Central Delhi,6.1,2005,2,7060,7315,14375,44.5,32.5,Paper QR Token,No,No,3,2,Cold & Cloudy,8.7,0,7.9,0
111,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Kirti Nagar,Yes,West Delhi,10.7,2005,4,17766,17145,34911,35.9,35.4,Smart Card (DMRC Card),Yes,Yes,2,1,Cold & Cloudy,8.7,0,7.1,0
112,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Mandi House,Yes,Central Delhi,2.3,2005,3,20699,21387,42086,42.9,20.0,QR Ticket (Token-less),Yes,Yes,6,2,Cold & Cloudy,8.7,0,3.3,1
113,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Mayur Vihar-I,Yes,East Delhi,10.6,2009,4,21151,20539,41690,40.0,40.3,NCMC Card (One Delhi),No,Yes,8,2,Cold & Cloudy,8.7,0,1.7,0
114,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Noida Sector 18,No,Noida,19.8,2009,2,4880,4946,9826,40.6,56.8,Smart Card (DMRC Card),No,Yes,2,0,Cold & Cloudy,8.7,0,2.7,0
115,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Rajendra Place,No,Central Delhi,7.4,2005,2,7565,7559,15124,31.9,28.1,Smart Card (DMRC Card),Yes,Yes,4,2,Cold & Cloudy,8.7,0,0.3,0
116,2024-01-02,Tuesday,0,Winter,Blue,#00509E,Rajiv Chowk,Yes,Central Delhi,0.5,2005,3,19905,20465,40370,41.9,17.0,Smart Card (DMRC Card),No,Yes,2,2,Cold & Cloudy,8.7,0,1.2,0
